source,target,freq
141,7,6302
119,86,3642
121,7,2281
678,7,1774
7,142,1552
142,11,1502
121,197,1493
121,123,1481
141,159,1268
141,163,1102
34,142,1100
162,163,1079
5,194,1059
135,278,952
212,166,943
145,103,931
14,163,893
11,34,892
123,45,879
166,163,861
141,52,833
103,104,801
5,123,796
150,171,724
7,34,703
142,7,700
245,246,698
14,45,697
562,701,671
7,121,652
119,326,651
150,123,643
141,2,642
32,33,641
123,121,641
227,7,619
133,133,612
1,2,609
8,156,595
163,141,581
822,199,579
5,171,565
11,478,564
1040,163,561
630,7,557
163,4,554
162,511,548
238,47,546
182,100,537
7,141,529
